"","Var1","Freq"
"1","##астрахань",2
"2","##жуликииворы",2
"3","##навальный",1
"4","##путин",1
"5","#<U+0001F426>",1
"6","#<U+4E2D><U+570B>",1
"7","#<U+5BC6><U+5C71>",1
"8","#<U+C11C><U+C6B8>",1
"9","#<U+C911><U+AD6D>",1
"10","#<U+D55C><U+AD6D>",1
"11","#03августа2019",1
"12","#08",3
"13","#1",1
"14","#10",3
"15","#10.08",1
"16","#10.08.19",1
"17","#10_08",3
"18","#10_08_2019",1
"19","#10_августа_2019",1
"20","#100819",1
"21","#10082019",6
"22","#10august",1
"23","#10августа",43
"24","#10августа#проспектсахарова",1
"25","#10августа2019",2
"26","#120film",3
"27","#14",1
"28","#14округ",1
"29","#17августа",21
"30","#18округ",1
"31","#1984",1
"32","#1991",1
"33","#1сентября",2
"34","#2",1
"35","#2019",19
"36","#2024",1
"37","#212",3
"38","#214фз",1
"39","#24velo",1
"40","#24вело",1
"41","#25лет",1
"42","#25округ",1
"43","#27августа",1
"44","#27июля",18
"45","#27июля2019",1
"46","#290919",4
"47","#29сентября",3
"48","#2instagood",2
"49","#2instagood#допускай#russianpolice",2
"50","#2оперполк,",2
"51","#2полк,",2
"52","#3",1
"53","#30регион",29
"54","#31августа",13
"55","#31августамитинг",1
"56","#35mm",8
"57","#35mmrussia",1
"58","#3августа",16
"59","#3сентября",3
"60","#42округ",1
"61","#43округ",1
"62","#43округ,",1
"63","#45округ",1
"64","#4chan",1
"65","#4CHAN_MEMAS",1
"66","#4chan_tv",1
"67","#4CHANVIDEO",1
"68","#550Чебоксары",2
"69","#5hourslater",1
"70","#5oclocksomewhere",1
"71","#666",2
"72","#8).",1
"73","#8,",1
"74","#818",1
"75","#8с",1
"76","#8сентября",12
"77","#8СЕНТЯБРЯ",3
"78","#8сентября2019",2
"79","#9)",1
"80","#9gagcute",1
"81","#9округ,",1
"82","#a.c.a.b.",1
"83","#aaa",1
"84","#abstract",2
"85","#abstractart",2
"86","#acab",6
"87","#action",1
"88","#adoptdontshop",2
"89","#adventure",2
"90","#adventuretime",1
"91","#aerosolart",1
"92","#aerowaltz",1
"93","#agameoftones",1
"94","#aleknaza",10
"95","#aleshastupin",2
"96","#allovermoscow",1
"97","#Allow",2
"98","#amateurphoto",1
"99","#AMORE",1
"100","#an_blog",1
"101","#analog",4
"102","#analogphotography",5
"103","#ancien",1
"104","#Android",1
"105","#anna_размышления",1
"106","#antielab",2
"107","#antifascist",2
"108","#antigovernment",1
"109","#aphelhoodz",2
"110","#Apostrophe",1
"111","#apple",1
"112","#Apple",1
"113","#architecture",1
"114","#art",35
"115","#art#sale",2
"116","#art,",1
"117","#artdrawing",1
"118","#arte",1
"119","#Artem",4
"120","#artemportal",4
"121","#artexhibition#UrbanShot",7
"122","#artgallery",1
"123","#artgallery#artmodel",6
"124","#artist",9
"125","#artist",1
"126","#artlife",1
