"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1","#politics","#history","#political","#жуков","#московскоедело","#история","#поэзия","#poet","#poetry","#inspirationalquotes","#poetrycommunity","#poetsofinstagram","#like4likes","#artistsoninstagram","#naturelover","#patriot","#khv","#news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","#Мордор","#МосковскоеДело","#МусораХужеГовна","#ВсеПутинскиеСудьиБляди",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","#МосковскоеДело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","#егоржуков","#россия","#финляндия","#хельсинки","#суоми","#камппи","#travel","#trip","#finland","#helsinki","#свободабытьсобой","#свободаслова","#московскоедело","#поколениеnext",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","#московскоедело","#сядьзатекст",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","#московскоедело","#егоржуков","#активизм","#активисты","#открытоепространство","#достоевского34","#подарокнанг2019","#подарокнановыйгод","#необычныйподарокспб",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","#ЕгорЖуков","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","#стоп212","#TEAMZHANNA<U+0001F49C>","#СвободуЕгоруЖукову","#freeyegorzhukov","#МирныйПротестНеТерроризм","#ЖуковНеЭкстремист","#свободуполитзаключенным","#ямывсястрана","#одиночныйпикет","#стыдностоятьвстороне","#отпускай","#ВернитеИнтернетЖукову","#московскоедело","#хватитмолчать",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
