"","Var1","Freq"
"1","#######################",1
"2","##<U+4E2D><U+56FD>",1
"3","##feminism",1
"4","##like",1
"5","##россиябудетсвободной",1
"6","##свободуполитзаключенным",1
"7","#<U+0001F441>",5
"8","#<U+0001F602><U+0001F602><U+0001F602>",1
"9","#<U+4E2D><U+56FD>",2
"10","#<U+4E2D><U+56FD><U+7535><U+5F71>",3
"11","#<U+4FC4><U+7F57><U+65AF>",2
"12","#<U+5317><U+4EAC>",2
"13","#<U+5434><U+4F18>",1
"14","#<U+590F><U+96E8>",1
"15","#<U+59DA><U+828A><U+7FBD>",1
"16","#<U+7535><U+5F71>",2
"17","#<U+7535><U+89C6><U+5267>",2
"18","#<U+83AB><U+65AF><U+79D1>",2
"19","#<U+83AB><U+65AF><U+79D1><U+884C><U+52A8>",3
"20","#<U+83AB><U+65AF><U+79D1><U+884C><U+52D5>",1
"21","#12апостолов",1
"22","#138.",1
"23","#1703",1
"24","#17независимый",1
"25","#17независимыйбаттл",1
"26","#1937",1
"27","#1993",1
"28","#2014",1
"29","#2019",5
"30","#212",15
"31","#212статья",1
"32","#214фз",2
"33","#214фзНЕработает",1
"34","#26регион",1
"35","#270719",2
"36","#27июля",4
"37","#29",1
"38","#29.09.19",2
"39","#29.9#отпускай#московскоедело#свободуполитзаключенным",1
"40","#290919",7
"41","#29октября",1
"42","#29сентября",19
"43","#2k19",1
"44","#313",1
"45","#31статья",1
"46","#35mm",3
"47","#35mmrussia",1
"48","#35мм",1
"49","#37",1
"50","#3d",1
"51","#3ddesign",1
"52","#3dmax",6
"53","#3dmodel",5
"54","#3dprint",5
"55","#3dprinting",10
"56","#3dsmax",1
"57","#3годаусловно",1
"58","#4matic",1
"59","#4года",1
"60","#51117",1
"61","#5летзатвит",3
"62","#6december",1
"63","#6декабря",1
"64","#7октября,",1
"65","#8ноября",1
"66","#90е",3
"67","#929",1
"68","#929GlobalAntiTotalitarianism",1
"69","#abstract",1
"70","#abstractmag",1
"71","#acab",4
"72","#ACAB",1
"73","#action",1
"74","#actionactor",2
"75","#actionmovie",1
"76","#actor",8
"77","#adobe",1
"78","#affalterbach",1
"79","#afisha",1
"80","#aftereffects",1
"81","#air",2
"82","#aksai3",1
"83","#aleksandrnovikov",27
"84","#alien",1
"85","#ALLRUNCLUB",1
"86","#alternative",2
"87","#alwaysfightback",1
"88","#amg",1
"89","#amg_63_55",1
"90","#amg63",1
"91","#amgaddict",1
"92","#amgclub",1
"93","#amggang",1
"94","#amggram",1
"95","#amglife",1
"96","#amglove",1
"97","#amglovers",1
"98","#amgperformance",1
"99","#amgpower",1
"100","#amnestyinternational",1
"101","#AmnestyInternational",1
"102","#anacondaz",1
"103","#analog",1
"104","#analogphotography",1
"105","#anarchist",1
"106","#anna_jurevna",27
"107","#argentravel",1
"108","#art",29
"109","#art_terra",1
"110","#art21",1
"111","#arte",1
"112","#artfeature",1
"113","#artfrompyro",1
"114","#artgallery",1
"115","#artintheworld___",3
"116","#artist",4
"117","#artistoninstagramn",1
"118","#artistsofinstagram",1
"119","#artistsoninstagram",1
"120","#artoftheday",1
"121","#artphotography",1
"122","#artwork",10
"123","#aspiring_to_a_dream",1
"124","#azatfreedom",1
"125","#b_l_a_c_k_v_e_l_v_e_t",1
"126","#ballpointpen",1
"127","#bariorart",1
"128","#bbcrussian",1
"129","#beatifulgirl",1
"130","#beko",2
"131","#bekolevin",2
"132","#believeinfilm",1
"133","#bestartpage",1
"134","#betruetoyourself",1
"135","#beyondinco",1
"136","#beyourself",1
"137","#birostudy",1
"138","#biruza",1
"139","#black",1
"140","#blackandwhite",8
"141","#blog",1
"142","#bnw",6
"143","#bnwdrama",1
"144","#bnwmood",7
"145","#bnwpolitics",4
"146","#bnwportrait",4
"147","#bnwprotest",5
"148","#boca",1
"149","#bogeno",1
"150","#bondarenko_blog",7
"151","#boy",1
"152","#breaking_mash",1
"153","#Brilev",1
"154","#Brilёv",1
"155","#broccoli",1
"156","#broken_script_gang",1
"157","#brunette",1
"158","#brz",1
"159","#bsas",1
"160","#buenosaires",1
"161","#calligraphy",2
"162","#candles",1
"163","#canvas",2
"164","#cap",1
"165","#cars",1
"166","#case212",18
"167","#cat",1
"168","#challenge",1
"169","#charitymarket",1
"170","#chicanoart",1
"171","#chpr",3
"172","#climatechange",1
"173","#climateemergency",1
"174","#clipstudioart",1
"175","#cococo",4
"176","#cococochannel",2
"177","#coffe",1
"178","#colorfilm",1
"179","#comment",8
"180","#commentforcomment",1
"181","#conceptualart",9
"182","#conceptualartist",9
"183","#concert",1
"184","#contemporaryart",22
"185","#cool",1
"186","#coronarender",1
"187","#corruption",1
"188","#CourierMedia",1
"189","#cover",1
"190","#crimea",1
"191","#CrocusCityHall",1
"192","#crueltyfree",1
"193","#customletters",2
"194","#cвобода",1
"195","#cвободувсем<U+2060>",2
"196","#cядьзатекст",3
"197","#daily",1
"198","#dailynews",1
"199","#dailynewspaper",1
"200","#danggang",1
"201","#darkart",1
"202","#deaddove",1
"203","#deadpigeon",1
"204","#december2019",1
"205","#december6",1
"206","#deep",3
"207","#deep_ex_sense",1
"208","#delo212",30
"209","#demonstration",1
"210","#dengang",1
"211","#design",6
