"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1","#мгд","#мосгордума","#председательмгд","#бюджетмосквы",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","#дневникдепутата","#народныйдепутат","#настоящийлидер","#народныйгерой","#николайбондаренко","#николайбондаренкопатриот","#николайбондаренко<U+0001F4AA><U+0001F4AA><U+0001F4AA>","#борецзасправедливость","#боритесьзасвоиправа","#боритесьзасвоиправа<U+270A>","#дума","#облдума","#госдума","#мосгордума","#государство","#правительство","#власть","#российскаяфедерация","#политика","#политикароссии","#политикасегодня","#новости","#новостироссии","#мирновостей","#regrann",NA,NA,NA,NA,NA,NA,NA
"3","#дарьябеседина","#city4people#мосгордума#городскиепроекты",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","#ЛДПР,","#ЕгоровАО,","#Москва,","#ЮВАО,","#ЗелАО,","#ГД,","#МосГорДума,","#ГосДума,","#ТакаяВласть,","#Жириновский,","#ЛдпрТв,","#ПравительствоМосквы,","#Печатники,","#Выхино,","#Жулебино,","#Кузьминки,","#Рязанский,","#Капотня,","#Лефортово,","#Южнопортовый,","#Некрасовка,","#Текстильщики,","#Люблино,","#Марьино,","#Mos,","#Выборы2021,","#ГосДума2021,","#Наука,","#Депутат,",NA,NA,NA
"5","#ЛДПР,","#ЕгоровАО,","#Москва,","#ЮВАО,","#ЗелАО,","#ГД,","#МосГорДума,","#ГосДума,","#ТакаяВласть,","#Жириновский,","#ЛдпрТв,","#ПравительствоМосквы,","#Печатники,","#Выхино,","#Жулебино,","#Кузьминки,","#Рязанский,","#Капотня,","#Лефортово,","#Южнопортовый,","#Некрасовка,","#Текстильщики,","#Люблино,","#Марьино,","#Mos,","#Выборы2021,","#ГосДума2021,","#Наука,","#Депутат,",NA,NA,NA
"6","#ЛДПР,","#ЕгоровАО,","#Москва,","#ЮВАО,","#ЗелАО,","#ГД,","#МосГорДума,","#ГосДума,","#ТакаяВласть,","#Жириновский,","#ЛдпрТв,","#ПравительствоМосквы,","#Печатники,","#Выхино,","#Жулебино,","#Кузьминки,","#Рязанский,","#Капотня,","#Лефортово,","#Южнопортовый,","#Некрасовка,","#Текстильщики,","#Люблино,","#Марьино,","#Mos,","#Выборы2021,","#ГосДума2021,","#Наука,","#Депутат,",NA,NA,NA
"7","#депутатыгосдумы","#госдума","#дума","#мосгордума","#депутаты","#мандат",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","#дневникдепутата","#народныйдепутат","#настоящийлидер","#народныйгерой","#николайбондаренко","#николайбондаренкопатриот","#николайбондаренко<U+0001F4AA><U+0001F4AA><U+0001F4AA>","#борецзасправедливость","#боритесьзасвоиправа","#боритесьзасвоиправа<U+270A>","#дума","#облдума","#госдума","#мосгордума","#государство","#правительство","#власть","#российскаяфедерация","#политика","#политикароссии","#политикасегодня","#новости","#новостироссии","#мирновостей",NA,NA,NA,NA,NA,NA,NA,NA
"9","#ИльяЛысенков","#персональнаявыставка","#мосгордума","#живопись",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","#хорда","#мосгордума","#дтпмосква","#автоподбор","#реновация","#полиция","#каршеринг","#яндекс","#медсправка","#хайп","#навальный","#академик","#емельяненко","#баста","#калибр","#вдудь","#путин","#iphone11","#секс","#минет","#рыбаки","#тайланд","#котик","#митинг","#ржач","#омон","#армияроссии","#мдц",NA,NA,NA,NA
"11","#ГРМ","#РГР","#МТПП","#Мосгордума",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","#КПРФ","#Парфенов","#выборы","#МГИК","#Мосгордума",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
