"","Var1","Freq"
"1","##мосгордума#акция#мосгоризбирком",1
"2","#@va_bozhko",1
"3","#_48_INSTANCE_Oq9Lx72FwtTN_=http%3A%2F%2Fwww.mosgorizbirkom.ru%2Fprecinct%2Fmenu%2F%3F",1
"4","#<U+0001F44D>",1
"5","#<U+2764>москва",1
"6","#<U+FE0F><U+20E3>",1
"7","#08092019",2
"8","#1).",1
"9","#10лет",5
"10","#11",1
"11","#1357",1
"12","#13округ",1
"13","#14округ",13
"14","#16округ",5
"15","#16округмгд",1
"16","#1883",1
"17","#18летЕР",1
"18","#18округ",1
"19","#1980",1
"20","#1995",1
"21","#1й",1
"22","#1йкласс",1
"23","#1сентября",3
"24","#1чтение",1
"25","#2)",1
"26","#2019",27
"27","#214фз",6
"28","#214фзНЕработает",2
"29","#2281",2
"30","#23округ",28
"31","#24",1
"32","#25лет",1
"33","#27июля",2
"34","#2instagood",3
"35","#2округ",1
"36","#302,",1
"37","#30избирательныйокруг",1
"38","#31округ",13
"39","#333",1
"40","#36округ",2
"41","#38округ",1
"42","#39округ",1
"43","#3сентября",1
"44","#41округ",4
"45","#41округМГД",1
"46","#42округ",1
"47","#43_округ",12
"48","#43округ",12
"49","#45округ",1
"50","#5",1
"51","#60минут",1
"52","#69pints",1
"53","#6созыв",1
"54","#7созыв",2
"55","#8",1
"56","#80919#выборы#мосгордума#никитинамойкандидат#",1
"57","#8128",1
"58","#8128community",1
"59","#872",1
"60","#8округ",1
"61","#8сентября",125
"62","#8Сентября",2
"63","#8сентября#всенавыборы#выборы#мосгордума#дума#москва#мск#мояпланета#всепутешествияначинаютсяздесь",1
"64","#8сентября,",1
"65","#8сентября<U+200B>",1
"66","#8сентября2019",11
"67","#8сентября2019_выборы",1
"68","#8сентября2019выборы",1
"69","#8сентябрявыборы",1
"70","#9",1
"71","#9округ,",1
"72","#aavst",1
"73","#abstractart",1
"74","#abstractphoto",1
"75","#acrylic",1
"76","#acrylicpainting",1
"77","#actress",3
"78","#adventure",2
"79","#adventuretime",2
"80","#afishafm",1
"81","#allaboutrussia",1
"82","#americanhistoryx",1
"83","#anna_размышления",1
"84","#annabelle",3
"85","#apple",1
"86","#aquarelle",1
"87","#aquarellepainting",1
"88","#art",6
"89","#art_exhibition",1
"90","#art_exhibitions",1
"91","#art_vorobyevaj",1
"92","#artconcurs",1
"93","#artcontract",3
"94","#artgallery",1
"95","#artgirl",2
"96","#artist",8
"97","#artofselfie",3
"98","#Artplay",2
"99","#artvasilkov",1
"100","#artwork",3
"101","#ASPFeatures",3
"102","#autumn",3
"103","#avangard",1
"104","#awesomeearth",2
"105","#backstage",2
"106","#bankrus",1
"107","#barnaul",2
"108","#bbc",1
"109","#beautiful",1
"110","#beautifuldestinations",2
"111","#beautifulmatters",2
"112","#beauty",1
"113","#beer",1
"114","#belfry",1
"115","#bender",1
"116","#bigbrother",1
"117","#blackandwhite",1
"118","#bleckstarburger",1
"119","#blogger",1
"120","#boulevardring",1
"121","#brn",2
"122","#brotherhood",1
"123","#burger",1
"124","#capitalmoscow",1
"125","#cat",1
"126","#cats",2
"127","#cats_of_instagram",1
"128","#catsofinstagram",1
"129","#cemetery",2
"130","#chihuahuagram",1
"131","#chihuahuamania",1
"132","#child",1
"133","#chillin",2
"134","#chillout",1
"135","#chiwawalife",1
"136","#christmasballs",1
"137","#christmastree",1
"138","#church",1
"139","#cinema",3
"140","#city",1
"141","#city4people#мосгордума#городскиепроекты",1
"142","#citylandscape",1
"143","#citylife",1
"144","#cityview",1
"145","#clip",1
"146","#cloudartgroup",1
"147","#cococo",1
"148","#comedy",2
"149","#comic",2
"150","#contemporary",1
"151","#contemporaryart",3
"152","#content",2
"153","#corruptrus",4
"154","#cosmoscow",1
"155","#cozymoscow",1
"156","#crazy",1
"157","#cвободувсем<U+2060>",1
